,title,label
0, 한국기업데이터 데이터 뉴딜 등 국가 데이터 산업에 기여,0
1, 진짜 5G 28㎓ 서비스 활성화 첫발과기부 TF 발족회의,0
2, 뉴욕개장쿠팡 뉴욕 증시 데뷔 이틀째도 상승 출발,1
3, 경북구미스마트그린산단 비전 선포식 개최,0
4, 해양환경공단 평택여수지사 방제대응센터 준공,0
5, 수소혁신데스크 출범정부 수소 투자기업 밀착 지원,0
6, 지역난방공사 국민 안전 최우선으로 시설 운영 강화,0
7, 쿠팡 이어 마켓컬리도 상장 추진...WSJ 연내 美 상장 검토,1
8, 수협은행 방카슈랑스펀드 우수직원 초청  신년회 개최,1
9, 남부발전 온라인 안전혁신학교 운영,0
10, 해양수산인재개발원 신임실무과정 교육 실시,0
11, 한국마사회 말 신발 만드는 장제 교육생 모집,0
12, 한국마사회 국산마 경매 스타트유력 씨수말 자마들 대거 참여,0
13, 구미 스마트그린산단 비전 출범식,0
14, 제조업 코로나19 타격 심각속도감 있는 대응 필요,0
15, 원주혁신기업도시서울 간 버스 일일 9회로 증회,0
16, 춘천시산림조합 나무전시판매장 개장,0
17, 코로나19 속 판로 막힌 제주 뿔소라청년들이 뚫는다,0
18, 화천 공공 실버주택 오늘부터 입주 시작,0
19, 강원 모바일 헬스케어 지원센터 개소,0
20, 연계협력 빠진 동해안권 발전 계획안 어쩌나,0
21, 충북 내수면 어획량 10년새 61% 급감,-1
22, 청주고속터미널 현대화 사업 3년만에 첫 삽,0
23, 에어로케이 다음 달 청주제주 노선 취항,0
24, 임실군 17일 카드형 임실사랑상품권 출시,1
25, 화훼농가 살리기 부산은행 장미꽃 3만 송이 선물,0
26, 밥상 물가 고공 행진당분간 상승세,1
27, 붕괴 위험 광주 평화맨션 7년 만에 철거,0
28, 전주 마을버스 15일부터 요금 부과최대 2차례 환승,0
29, 국민 분노에 변창흠 시한부 유임또 어정쩡한 경질 택한 文,0
30, 앞날 창창하다 100조 평가 쿠팡최대 리스크는 고용거래관행,-1
31, 노동계 포스코 최정우 회장 연임 반발,0
32, 전주시 청년 임대주택 추가 공급시가 50% 수준,0
33, 여당은 지원정부는 유보금융중심지 지정 언제쯤,0
34, 대전국세청 대덕구 법동에 신청사 개청,0
35, 국토부 LH 사장 후보자 재추천 요청,0
36, 앞날 창창하다 100조 평가 쿠팡최대 리스크는 고용거래관행,-1
37, 팩트체크K 제주 2공항 사업 주민 수용성 확보했다,0
38, 1타 강사 LH 직원 파면...망언 직원은 징계 가능성,-1
39, LH 후속 대책 착수...대출 과정 조사LH 업무 분산 검토,0
40, 공영 전환 유성터미널 규제 풀어 아파트 장사,0
41, 동네가게 샐러드도 자판기에서소상공인 비대면 판로 확장,0
42, 쿠팡 美증시 화려한 데뷔 시총 100조마켓컬리도 상장 추진,1
43, 고용브리핑365 5G 가입자 1300만 명,0
44, 내부정보 이용 투기는 차명법인 활용현 조사방식은 한계,0
45, 해체 수준 개혁 vs 3기 신도시 차질없이LH딜레마,0
46, 특정지점대규모 대출 문제북시흥농협 43억 대출 투기 조사,-1
47, WHO 아스트라제네카 코로나19 백신 사용 중단할 이유 없다,-1
48, 데일리안 오늘뉴스 종합 文 변창흠 사의 사실상 수용24 대책 기초까지는 마무리하라 본부장때 바람직하지 않은 일 했다 LH 고위간부 투신 등,0
49, 신도시 인근 집 LH국토부 직원 일부 다주택자주택 투기로 번지나,0
50, 임대료 0.6% 떨어져착한 임대인 정책 한계,1
51, 발품경제 피부병 닭발 보도 후 2년 다시 찾은 현장은,0
52, 시한부 국토장관최대위기 LH공급대책 앞날 불투명,0
53, 카드뉴스 쿠팡 뉴욕 등판에 놀란 외신들,0
54, 쿠팡 뉴욕증시 데뷔시총 100조 기업으로,1
55, 쿠팡 시장점유율 높여갈수록 결국 누군가는 그만큼 시장 내줘야,0
56, 두끼 21년 국내  해외 가맹점 오픈 순항  손쉬운 매뉴얼과 체계적인 관리로 예비 창업주 호평,1
57, 이달 14∼20일 상장사 376곳 예탁원서 비대면 주총 투표,1
58, 식당 사장님에 200억김봉진 기부 프로젝트 첫발,0
59, 3N 게임사 면접서 페미니즘 사상검증 당했다 폭로,-1
60, 국토부 아시아나티웨이에 과징금 활주로 무단진입정비불량,-1
61, 파키스탄 남서부 석탄광산 폭발사고로 광부 6명 사망,0
62, 쿠팡 잭팟 터졌지만풀어야 할 숙제는 산더미,1
63, 김범석 의장 쿠팡 물류사업 지속 투자혁신 멈추지 않을 것,0
64, 이재명 공직자 부동산 비리 제보핫라인 개통포상금도 지급,0
65, 與 의원 줄줄이 투기 의혹에 당혹윤리감찰단 발표도 감감 무소식,-1
66, 단독 광명시흥 땅에 희귀나무 심어보상비만 87억,0
67, 오비맥주 올 뉴 카스 출시투명병 온도센서 등 제품 주요 요소에 혁신적 변화 도입,1
68, 단독 농협 한 지점서 60억 대출강원도 가서 원정대출도,0
69, 하이트진로 테라 필두로 맥주 부문 성장세 이어가,1
70, 정비규정 어기고 활주로 무단진입아시아나티웨이에 과징금,-1
71, 롯데렌탈 2021년 상반기 공개채용 실시,0
72, 안전수칙 위반한 아시아나티웨이항공에 과징금 9억원,-1
73, 권칠승 장관 쿠팡에 마켓컬리도 美상장 쿨하게 생각하자,1
74, LH 강사장 보상해준 농협 감사와 10억 끌어와 투기,0
75, 다주택자 논란 의식국토부 LH 사장 임명 절차 백지화 재추천 방침,-1
76, 농협 감사와 LH 직원 공동매입대출 과정 조사,0
77, 영상 속 비위생 중국 절임 배추 수출용 아니다,0
78, 국토부 LH 사장 후보자 재추천유력 후보 다주택자 논란,-1
79, LH 사태 누가 수습국토부 LH 사장 임명 재추천 요청종합,0
80, 쿠팡 美상장 첫날 40% 상승 시총 100조 찍었다,1
81, 비트코인 6600만원 역대 최고가 경신,1
82, 금융당국 LH직원 불법 대출 여부 조사 나선다,-1
83, 운항규정 위반 아시아나티웨이 항공에 과징금 9억여 원 부과,-1
84, 수사 대상 아니었는데지역 본부서 무슨 일이,-1
85, 구미 스마트그린산단 비전 출범식,0
86, 춘천시산림조합 나무전시판매장 개장,0
87, 화천 공공 실버주택 오늘부터 입주 시작,0
88, 수십억 대출 받아 투기했는데살펴보겠다 또 뒷북,0
89, 완주군전주대 사회적경제 인재 양성 협약,0
90, 강원 모바일 헬스케어 지원센터 개소,0
91, LG그룹 분리 지주사 LX홀딩스한국국토정보공사 난색,0
92, 밥상 물가 고공 행진당분간 상승세,1
93, 김영록 지사 광양항율촌산단 도로 국비 반영 노력,0
94, 국토부 LH 사장 적격자 없어재추천 김세용 SH 사장 낙마,0
95, 공영 전환 유성터미널 규제 풀어 아파트 장사,0
96, 화훼농가 살리기 부산은행 장미꽃 3만 송이 선물,0
97, 에어로케이 다음 달 청주제주 노선 취항,0
98, 中企 사장님의 한숨 59세 신입을 면접사람 모시기 하늘의 별따기,0
99, 제조업 코로나19 타격 심각속도감 있는 대응 필요,0
100, 전주시 청년 임대주택 추가 공급시가 50% 수준,0
101, 주택공급 확대론자 변창흠 결국 LH 땅투기 의혹에 무릎,0
102, 신임 LH 사장 임명절차 재진행유력후보 땅부자 논란,-1
103, 권칠승 장관 중소기업 주52시간 미룰 방법 찾겠다,0
104, 금융당국 LH 투기 의혹 직원 불법 대출 과정 조사한다,-1
105, 성과급 50억 받은 증권사 연봉킹...큰손 고객 전담,0
106, 국토부 적임자 없다 LH 사장 재추천 요구김세용 보류,0
107, 국토부 적격자 없다 LH 사장 후보자 재추천 요구,0
108, LH 사장 인선 원점서 다시 시작현 상황 대응 역량 후보 없어,0
109, 증시 강세에 50억대 성과급 챙긴 증권사 직원 나왔다,0
110, 국토부 LH 사장 임명 재추천 요청,0
111, LH간부 분당에서 투신 사망책임통감 유서종합2보,0
112, 유력 후임 후보 다주택자 논란에국토부 LH 사장 임명 절차 백지화,-1
113, 국토부 LH 사장 후보자 재추천하라... 김세용 SH 사장 낙마한 듯,0
114, 강원 아파트 가격 상승세 둔화외지인 투자 수요 감소,1
115, 특정지점대규모 대출 문제북시흥농협 43억 대출 투기 조사,-1
116, 면역항암제 기업 네오이뮨텍 16일 코스닥 상장,1
